product	contig_count
RluA family pseudouridine synthase	1
S8 family serine peptidase	71
SAG1250 family conjugative relaxase	144
SAG1252 family conjugative relaxosome accessory protein	142
SAG1386/EF1546 family surface-associated protein	1
SEC10/PgrA surface exclusion domain-containing protein	1
SNF2-related protein	130
Sensor histidine kinase GraS	3
Sensor protein CreC	44
Sensory transduction protein regX3	44
Septation ring formation regulator EzrA	1
Shikimate kinase	10
SspB-related isopeptide-forming adhesin	25
Streptothricin acetyltransferase A	13
TIGR01457 family HAD-type hydrolase	1
TIGR01906 family membrane protein	1
TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein	1
TetR-like C-terminal domain-containing protein	1
TetR/AcrR family transcriptional regulator	5
TnpV protein	112
Toxin PezT	41
Toxin zeta	4
TraX family protein	1
Transcriptional repressor CopY	1
Transposase from transposon Tn916	4
TrbL/VirB6 plasmid conjugal transfer protein	3
Trehalose transport system permease protein SugB	2
Tyrosine recombinase XerD	5
Tyrosine recombinase XerS	3
UDP-galactopyranose mutase	3
UvrD-helicase domain-containing protein	5
VTT domain-containing protein	1
Vat family streptogramin A O-acetyltransferase	1
WYL domain-containing protein	11
XRE family transcriptional regulator	13
Y-family DNA polymerase	1
YSIRK-type signal peptide-containing protein	1
YdcP family protein	5
YlbF/YmcA family competence regulator	1
YueI family protein	2
acid phosphatase AphA	1
acyl-ACP thioesterase domain-containing protein	1
adenosine deaminase	1
alkaline phosphatase family protein	1
alpha-L-fucosidase	1
alpha-N-acetylgalactosaminidase	1
alpha/beta hydrolase	5
alpha/beta hydrolase-fold protein	4
amino acid ABC transporter ATP-binding protein	1
aminoglycoside 6-adenylyltransferase AadE	1
aminoglycoside O-phosphotransferase APH(3')-IIIa	13
aminoglycoside nucleotidyltransferase ANT(6)-Ia	12
aminotransferase	1
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	1
antirestriction protein ArdA	5
antitoxin	15
arsenate reductase	17
aspartate carbamoyltransferase catalytic subunit	1
bifunctional lysozyme/C40 family peptidase	5
bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	1
calcium-binding protein	130
carbamoyl phosphate synthase large subunit	1
carbamoyl phosphate synthase small subunit	1
carbamoyl-phosphate synthase large subunit	1
carbohydrate ABC transporter permease	1
chloride channel protein	1
chorismate mutase	1
chorismate synthase	1
class I SAM-dependent methyltransferase	1
class I SAM-dependent rRNA methyltransferase	1
conjugal transfer protein	5
conjugal transfer protein TrbL	129
conjugative relaxase-related protein	1
